! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.49214   	0.001000	4.8498    	0.001000	4.81862   	0.001000	4.81862   	0.001000	4.81892   	0.001000	1.29416   	0.001000	3.55564   	
0.002000	4.55745   	0.002000	4.5437    	0.002000	4.65146   	0.002000	4.65146   	0.002000	4.65166   	0.002000	1.67832   	0.002000	2.86538   	
0.005000	4.82698   	0.005000	4.24703   	0.005000	4.70454   	0.005000	4.70454   	0.005000	4.70465   	0.005000	2.36647   	0.005000	1.88056   	
0.008000	5.15501   	0.008000	4.2641    	0.008000	5.01358   	0.008000	5.01358   	0.008000	5.01366   	0.008000	2.82258   	0.008000	1.44152   	
0.010000	5.3713    	0.010000	4.32719   	0.010000	5.25193   	0.010000	5.25193   	0.010000	5.25199   	0.010000	3.06894   	0.010000	1.25825   	
0.015000	6.09972   	0.015000	4.54216   	0.015000	5.86048   	0.015000	5.86048   	0.015000	5.86052   	0.015000	3.57291   	0.015000	0.969251  	
0.020000	6.76363   	0.020000	4.77767   	0.020000	6.44564   	0.020000	6.44564   	0.020000	6.44568   	0.020000	3.97992   	0.020000	0.797749  	
0.025000	7.54388   	0.025000	5.04672   	0.025000	6.99806   	0.025000	6.99806   	0.025000	6.99809   	0.025000	4.36411   	0.025000	0.682614  	
0.030000	8.2444    	0.030000	5.98882   	0.030000	7.67092   	0.030000	7.67092   	0.030000	7.67095   	0.030000	5.39498   	0.030000	0.593842  	
0.035000	8.86219   	0.035000	6.90983   	0.035000	8.35247   	0.035000	8.35247   	0.035000	8.35249   	0.035000	6.37877   	0.035000	0.531052  	
0.040000	9.40519   	0.040000	7.77844   	0.040000	9.03205   	0.040000	9.03205   	0.040000	9.03208   	0.040000	7.29706   	0.040000	0.48138   	
0.045000	9.85577   	0.045000	8.59064   	0.045000	9.70665   	0.045000	9.70665   	0.045000	9.70667   	0.045000	8.14965   	0.045000	0.440994  	
0.050000	10.2069   	0.050000	9.36365   	0.050000	10.3739   	0.050000	10.3739   	0.050000	10.3739   	0.050000	8.95621   	0.050000	0.407442  	
0.055000	10.7825   	0.055000	10.122    	0.055000	11.0318   	0.055000	11.0318   	0.055000	11.0318   	0.055000	9.74295   	0.055000	0.379075  	
0.060000	11.2996   	0.060000	10.8493   	0.060000	11.6788   	0.060000	11.6788   	0.060000	11.6788   	0.060000	10.4946   	0.060000	0.354744  	
0.070000	12.1651   	0.070000	12.231    	0.070000	12.9343   	0.070000	12.9343   	0.070000	12.9344   	0.070000	11.9159   	0.070000	0.315089  	
0.080000	13.0864   	0.080000	13.5304   	0.080000	14.1318   	0.080000	14.1318   	0.080000	14.1318   	0.080000	13.2463   	0.080000	0.284057  	
0.090000	13.864    	0.090000	14.7516   	0.090000	15.2649   	0.090000	15.2649   	0.090000	15.2649   	0.090000	14.4925   	0.090000	0.259046  	
0.100000	14.5113   	0.100000	15.8936   	0.100000	16.3297   	0.100000	16.3297   	0.100000	16.3297   	0.100000	15.6551   	0.100000	0.238415  	
