! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.83979e-05	0.001000	6.30474e-05	0.001000	6.26421e-05	0.001000	6.26421e-05	0.001000	6.2646e-05	0.001000	1.68241e-05	0.001000	4.62233e-05	
0.002000	5.92468e-05	0.002000	5.90681e-05	0.002000	6.0469e-05	0.002000	6.0469e-05	0.002000	6.04716e-05	0.002000	2.18181e-05	0.002000	3.72499e-05	
0.005000	6.27508e-05	0.005000	5.52115e-05	0.005000	6.1159e-05	0.005000	6.1159e-05	0.005000	6.11604e-05	0.005000	3.07642e-05	0.005000	2.44473e-05	
0.008000	6.70152e-05	0.008000	5.54333e-05	0.008000	6.51766e-05	0.008000	6.51766e-05	0.008000	6.51775e-05	0.008000	3.66936e-05	0.008000	1.87397e-05	
0.010000	6.98268e-05	0.010000	5.62534e-05	0.010000	6.82751e-05	0.010000	6.82751e-05	0.010000	6.82759e-05	0.010000	3.98962e-05	0.010000	1.63572e-05	
0.015000	7.92963e-05	0.015000	5.90481e-05	0.015000	7.61862e-05	0.015000	7.61862e-05	0.015000	7.61868e-05	0.015000	4.64479e-05	0.015000	1.26003e-05	
0.020000	8.79271e-05	0.020000	6.21097e-05	0.020000	8.37934e-05	0.020000	8.37934e-05	0.020000	8.37939e-05	0.020000	5.1739e-05	0.020000	1.03707e-05	
0.025000	9.80705e-05	0.025000	6.56074e-05	0.025000	9.09748e-05	0.025000	9.09748e-05	0.025000	9.09752e-05	0.025000	5.67334e-05	0.025000	8.87398e-06	
0.030000	0.000107177	0.030000	7.78547e-05	0.030000	9.9722e-05	0.030000	9.9722e-05	0.030000	9.97224e-05	0.030000	7.01348e-05	0.030000	7.71994e-06	
0.035000	0.000115209	0.035000	8.98277e-05	0.035000	0.000108582	0.035000	0.000108582	0.035000	0.000108582	0.035000	8.29241e-05	0.035000	6.90368e-06	
0.040000	0.000122268	0.040000	0.00010112	0.040000	0.000117417	0.040000	0.000117417	0.040000	0.000117417	0.040000	9.48618e-05	0.040000	6.25794e-06	
0.045000	0.000128125	0.045000	0.000111678	0.045000	0.000126186	0.045000	0.000126186	0.045000	0.000126187	0.045000	0.000105945	0.045000	5.73292e-06	
0.050000	0.00013269	0.050000	0.000121727	0.050000	0.000134861	0.050000	0.000134861	0.050000	0.000134861	0.050000	0.000116431	0.050000	5.29674e-06	
0.055000	0.000140173	0.055000	0.000131586	0.055000	0.000143413	0.055000	0.000143413	0.055000	0.000143414	0.055000	0.000126658	0.055000	4.92798e-06	
0.060000	0.000146895	0.060000	0.000141041	0.060000	0.000151824	0.060000	0.000151824	0.060000	0.000151824	0.060000	0.000136429	0.060000	4.61167e-06	
0.070000	0.000158146	0.070000	0.000159002	0.070000	0.000168146	0.070000	0.000168146	0.070000	0.000168147	0.070000	0.000154906	0.070000	4.09616e-06	
0.080000	0.000170123	0.080000	0.000175895	0.080000	0.000183713	0.080000	0.000183713	0.080000	0.000183713	0.080000	0.000172202	0.080000	3.69274e-06	
0.090000	0.000180232	0.090000	0.000191771	0.090000	0.000198443	0.090000	0.000198443	0.090000	0.000198444	0.090000	0.000188403	0.090000	3.3676e-06	
0.100000	0.000188647	0.100000	0.000206616	0.100000	0.000212286	0.100000	0.000212286	0.100000	0.000212286	0.100000	0.000203517	0.100000	3.09939e-06	
0.120000	0.000197393	0.120000	0.000232467	0.120000	0.000237221	0.120000	0.000237221	0.120000	0.000237222	0.120000	0.000229785	0.120000	2.68169e-06	
0.140000	0.000203961	0.140000	0.000254226	0.140000	0.000258526	0.140000	0.000258526	0.140000	0.000258526	0.140000	0.000251855	0.140000	2.37024e-06	
0.160000	0.000209762	0.160000	0.000272725	0.160000	0.000276417	0.160000	0.000276417	0.160000	0.000276417	0.160000	0.000270597	0.160000	2.12826e-06	
0.180000	0.000215454	0.180000	0.000288449	0.180000	0.000291233	0.180000	0.000291233	0.180000	0.000291233	0.180000	0.000286515	0.180000	1.93437e-06	
0.200000	0.000222531	0.200000	0.000301847	0.200000	0.000303361	0.200000	0.000303361	0.200000	0.000303361	0.200000	0.000300071	0.200000	1.77521e-06	
0.250000	0.000236239	0.250000	0.000337052	0.250000	0.000324436	0.250000	0.000324436	0.250000	0.000324436	0.250000	0.000335574	0.250000	1.47824e-06	
0.300000	0.000247757	0.300000	0.000361295	0.300000	0.000336349	0.300000	0.000336349	0.300000	0.000336349	0.300000	0.000360023	0.300000	1.27141e-06	
0.350000	0.000257397	0.350000	0.000377609	0.350000	0.000342779	0.350000	0.000342779	0.350000	0.000342779	0.350000	0.000376491	0.350000	1.11844e-06	
0.400000	0.00027073	0.400000	0.000395772	0.400000	0.000346971	0.400000	0.000346971	0.400000	0.000346971	0.400000	0.000394772	0.400000	1.00036e-06	
0.450000	0.000281523	0.450000	0.000410712	0.450000	0.00035846	0.450000	0.00035846	0.450000	0.00035846	0.450000	0.000409806	0.450000	9.06239e-07	
0.500000	0.000290163	0.500000	0.000421565	0.500000	0.000366887	0.500000	0.000366887	0.500000	0.000366887	0.500000	0.000420735	0.500000	8.29326e-07	
0.600000	0.000292214	0.600000	0.000434617	0.600000	0.000377697	0.600000	0.000377697	0.600000	0.000377697	0.600000	0.000433906	0.600000	7.10878e-07	
0.700000	0.000284094	0.700000	0.000432775	0.700000	0.000376352	0.700000	0.000376352	0.700000	0.000376352	0.700000	0.000432152	0.700000	6.23653e-07	
0.800000	0.0002847 	0.800000	0.00042707	0.800000	0.000372495	0.800000	0.000372495	0.800000	0.000372495	0.800000	0.000426514	0.800000	5.56557e-07	
0.900000	0.000283861	0.900000	0.000420059	0.900000	0.000368036	0.900000	0.000368036	0.900000	0.000368036	0.900000	0.000419556	0.900000	5.03233e-07	
1.000000	0.000282026	1.000000	0.000412365	1.000000	0.000363221	1.000000	0.000363221	1.000000	0.000363222	1.000000	0.000411905	1.000000	4.59765e-07	
1.250000	0.000272718	1.250000	0.000389848	1.250000	0.000346229	1.250000	0.000346229	1.250000	0.00034623	1.250000	0.000389469	1.250000	3.79428e-07	
1.500000	0.00026188	1.500000	0.000368062	1.500000	0.000330886	1.500000	0.000330886	1.500000	0.000330886	1.500000	0.000367738	1.500000	3.24099e-07	
1.750000	0.000251142	1.750000	0.000348439	1.750000	0.000317168	1.750000	0.000317168	1.750000	0.000317168	1.750000	0.000348155	1.750000	2.83531e-07	
2.000000	0.000240089	2.000000	0.000329748	2.000000	0.000304652	2.000000	0.000304652	2.000000	0.000304652	2.000000	0.000329495	2.000000	2.52434e-07	
2.250000	0.000230521	2.250000	0.000313574	2.250000	0.000293119	2.250000	0.000293119	2.250000	0.000293119	2.250000	0.000313346	2.250000	2.27792e-07	
2.500000	0.000247996	2.500000	0.000299415	2.500000	0.000282434	2.500000	0.000282434	2.500000	0.000282434	2.500000	0.000299208	2.500000	2.07755e-07	
3.000000	0.000229253	3.000000	0.000275285	3.000000	0.000263235	3.000000	0.000263235	3.000000	0.000263236	3.000000	0.000275108	3.000000	1.77084e-07	
3.500000	0.000212988	3.500000	0.000255244	3.500000	0.000246472	3.500000	0.000246472	3.500000	0.000246472	3.500000	0.000255089	3.500000	1.54652e-07	
4.000000	0.000198864	4.000000	0.000238121	4.000000	0.000231716	4.000000	0.000231716	4.000000	0.000231717	4.000000	0.000237983	4.000000	1.37492e-07	
4.500000	0.000186533	4.500000	0.000223231	4.500000	0.000218634	4.500000	0.000218634	4.500000	0.000218634	4.500000	0.000223107	4.500000	1.23919e-07	
5.000000	0.000175696	5.000000	0.0002101 	5.000000	0.00020696	5.000000	0.00020696	5.000000	0.00020696	5.000000	0.000209987	5.000000	1.12898e-07	
5.500000	0.000166108	5.500000	0.000198498	5.500000	0.000196479	5.500000	0.000196479	5.500000	0.000196479	5.500000	0.000198394	5.500000	1.03762e-07	
6.000000	0.000157568	6.000000	0.000188153	6.000000	0.000187018	6.000000	0.000187018	6.000000	0.000187018	6.000000	0.000188057	6.000000	9.60588e-08	
6.500000	0.000149915	6.500000	0.000178858	6.500000	0.000178436	6.500000	0.000178436	6.500000	0.000178436	6.500000	0.000178769	6.500000	8.94709e-08	
7.000000	0.000143018	7.000000	0.000170454	7.000000	0.000170614	7.000000	0.000170614	7.000000	0.000170614	7.000000	0.00017037	7.000000	8.3769e-08	
7.500000	0.00013677	7.500000	0.000162808	7.500000	0.000163456	7.500000	0.000163456	7.500000	0.000163456	7.500000	0.000162729	7.500000	7.8783e-08	
8.000000	0.000131083	8.000000	0.000155821	8.000000	0.00015688	8.000000	0.00015688	8.000000	0.00015688	8.000000	0.000155746	8.000000	7.4384e-08	
8.500000	0.000125884	8.500000	0.000149411	8.500000	0.000150818	8.500000	0.000150818	8.500000	0.000150818	8.500000	0.00014934	8.500000	7.04725e-08	
9.000000	0.000121113	9.000000	0.000143508	9.000000	0.000145211	9.000000	0.000145211	9.000000	0.000145211	9.000000	0.000143441	9.000000	6.69706e-08	
9.500000	0.000116717	9.500000	0.000138056	9.500000	0.00014001	9.500000	0.00014001	9.500000	0.00014001	9.500000	0.000137992	9.500000	6.38162e-08	
10.000000	0.000112654	10.000000	0.00012747	10.000000	0.000135171	10.000000	0.000135171	10.000000	0.000135172	10.000000	0.000127409	10.000000	6.09591e-08	
11.000000	0.000105384	11.000000	0.000120398	11.000000	0.000126089	11.000000	0.000126529	11.000000	0.000126542	11.000000	0.000120342	11.000000	5.59812e-08	
12.000000	9.9066e-05	12.000000	0.000114063	12.000000	0.000118201	12.000000	0.000118963	12.000000	0.000118961	12.000000	0.000114011	12.000000	5.17879e-08	
13.000000	9.35215e-05	13.000000	0.000108364	13.000000	0.000111291	13.000000	0.00011229	13.000000	0.000112253	13.000000	0.000108316	13.000000	4.82049e-08	
14.000000	8.86148e-05	14.000000	0.000103216	14.000000	0.000105192	14.000000	0.000106365	14.000000	0.000106284	14.000000	0.000103171	14.000000	4.51061e-08	
15.000000	8.42402e-05	15.000000	9.85458e-05	15.000000	9.97742e-05	15.000000	0.000101072	15.000000	0.000100942	15.000000	9.85034e-05	15.000000	4.23983e-08	
16.000000	8.03145e-05	16.000000	9.42922e-05	16.000000	9.49334e-05	16.000000	9.6319e-05	16.000000	9.6139e-05	16.000000	9.42522e-05	16.000000	4.00109e-08	
17.000000	7.67709e-05	17.000000	9.04034e-05	17.000000	9.05857e-05	17.000000	9.20307e-05	17.000000	9.18019e-05	17.000000	9.03655e-05	17.000000	3.78893e-08	
18.000000	7.35552e-05	18.000000	8.68356e-05	18.000000	8.66609e-05	18.000000	8.81451e-05	18.000000	8.78668e-05	18.000000	8.67996e-05	18.000000	3.5991e-08	
19.000000	7.06234e-05	19.000000	8.35512e-05	19.000000	8.31025e-05	19.000000	8.46108e-05	19.000000	8.42871e-05	19.000000	8.3517e-05	19.000000	3.42819e-08	
20.000000	6.79388e-05	20.000000	8.05185e-05	20.000000	7.98648e-05	20.000000	8.13846e-05	20.000000	8.10209e-05	20.000000	8.04857e-05	20.000000	3.27347e-08	
21.000000	6.54709e-05	21.000000	7.77098e-05	21.000000	7.69093e-05	21.000000	7.84305e-05	21.000000	7.80268e-05	21.000000	7.76785e-05	21.000000	3.13271e-08	
